departamento,anio,dia_semana,siniestros
APURIMAC,2009,VIERNES,30
APURIMAC,2009,SÁBADO,19
APURIMAC,2009,DOMINGO,30
APURIMAC,2010,LUNES,22
APURIMAC,2010,MARTES,29
APURIMAC,2010,MIÉRCOLES,13
APURIMAC,2010,JUEVES,18
APURIMAC,2010,VIERNES,17
APURIMAC,2010,SÁBADO,19
APURIMAC,2010,DOMINGO,13
APURIMAC,2011,LUNES,17
APURIMAC,2011,MARTES,20
APURIMAC,2011,MIÉRCOLES,27
APURIMAC,2011,JUEVES,18
APURIMAC,2011,VIERNES,55
APURIMAC,2011,SÁBADO,31
APURIMAC,2011,DOMINGO,17
APURIMAC,2012,LUNES,73
APURIMAC,2012,MARTES,48
APURIMAC,2012,MIÉRCOLES,59
APURIMAC,2012,JUEVES,86
APURIMAC,2012,VIERNES,151
APURIMAC,2012,SÁBADO,106
APURIMAC,2012,DOMINGO,93
APURIMAC,2013,LUNES,65
APURIMAC,2013,MARTES,60
APURIMAC,2013,MIÉRCOLES,55
APURIMAC,2013,JUEVES,71
APURIMAC,2013,VIERNES,100
APURIMAC,2013,SÁBADO,98
APURIMAC,2013,DOMINGO,76
APURIMAC,2014,LUNES,89
APURIMAC,2014,MARTES,80
APURIMAC,2014,MIÉRCOLES,99
APURIMAC,2014,JUEVES,94
APURIMAC,2014,VIERNES,109
APURIMAC,2014,SÁBADO,102
APURIMAC,2014,DOMINGO,70
APURIMAC,2015,LUNES,61
APURIMAC,2015,MARTES,62
APURIMAC,2015,MIÉRCOLES,57
APURIMAC,2015,JUEVES,95
APURIMAC,2015,VIERNES,101
APURIMAC,2015,SÁBADO,77
APURIMAC,2015,DOMINGO,78
APURIMAC,2016,LUNES,35
APURIMAC,2016,MARTES,36
APURIMAC,2016,MIÉRCOLES,44
APURIMAC,2016,JUEVES,55
APURIMAC,2016,VIERNES,81
APURIMAC,2016,SÁBADO,77
APURIMAC,2016,DOMINGO,35
APURIMAC,2017,LUNES,44
APURIMAC,2017,MARTES,67
APURIMAC,2017,MIÉRCOLES,65
APURIMAC,2017,JUEVES,63
APURIMAC,2017,VIERNES,70
APURIMAC,2017,SÁBADO,92
APURIMAC,2017,DOMINGO,72
APURIMAC,2018,LUNES,90
APURIMAC,2018,MARTES,92
APURIMAC,2018,MIÉRCOLES,87
APURIMAC,2018,JUEVES,95
APURIMAC,2018,VIERNES,163
APURIMAC,2018,SÁBADO,167
APURIMAC,2018,DOMINGO,124
APURIMAC,2019,LUNES,107
APURIMAC,2019,MARTES,81
APURIMAC,2019,MIÉRCOLES,97
APURIMAC,2019,JUEVES,125
APURIMAC,2019,VIERNES,143
APURIMAC,2019,SÁBADO,132
APURIMAC,2019,DOMINGO,123
APURIMAC,2020,LUNES,95
APURIMAC,2020,MARTES,79
APURIMAC,2020,MIÉRCOLES,85
APURIMAC,2020,JUEVES,110
APURIMAC,2020,VIERNES,87
APURIMAC,2020,SÁBADO,116
APURIMAC,2020,DOMINGO,65
APURIMAC,2021,LUNES,97
APURIMAC,2021,MARTES,131
APURIMAC,2021,MIÉRCOLES,119
APURIMAC,2021,JUEVES,146
APURIMAC,2021,VIERNES,157
APURIMAC,2021,SÁBADO,164
APURIMAC,2021,DOMINGO,110
APURIMAC,2022,LUNES,81
APURIMAC,2022,MARTES,90
APURIMAC,2022,MIÉRCOLES,112
APURIMAC,2022,JUEVES,122
APURIMAC,2022,VIERNES,114
APURIMAC,2022,SÁBADO,182
APURIMAC,2022,DOMINGO,159
APURIMAC,2023,LUNES,62
APURIMAC,2023,MARTES,48
APURIMAC,2023,MIÉRCOLES,79
APURIMAC,2023,JUEVES,75
APURIMAC,2023,VIERNES,137
APURIMAC,2023,SÁBADO,215
APURIMAC,2023,DOMINGO,104
APURIMAC,2024,LUNES,71
APURIMAC,2024,MARTES,82
APURIMAC,2024,MIÉRCOLES,105
APURIMAC,2024,JUEVES,100
APURIMAC,2024,VIERNES,140
APURIMAC,2024,SÁBADO,118
APURIMAC,2024,DOMINGO,87
