mes,anio,condicion,victimas
MAYO,2016,HERIDOS,528
MAYO,2015,MUERTOS,65
MAYO,2015,HERIDOS,392
MAYO,2014,MUERTOS,70
MAYO,2014,HERIDOS,395
MAYO,2013,MUERTOS,80
MAYO,2013,HERIDOS,436
MAYO,2012,MUERTOS,57
MAYO,2012,HERIDOS,217
MAYO,2011,MUERTOS,55
MAYO,2011,HERIDOS,335
MAYO,2010,MUERTOS,69
MAYO,2010,HERIDOS,554
MAYO,2009,MUERTOS,62
MAYO,2009,HERIDOS,478
MAYO,2008,MUERTOS,61
MAYO,2008,HERIDOS,317
MAYO,2007,MUERTOS,50
MAYO,2007,HERIDOS,435
JUNIO,2022,MUERTOS,48
JUNIO,2022,HERIDOS,559
JUNIO,2021,MUERTOS,86
JUNIO,2021,HERIDOS,534
JUNIO,2020,MUERTOS,24
JUNIO,2020,HERIDOS,194
JUNIO,2019,MUERTOS,66
JUNIO,2019,HERIDOS,544
JUNIO,2018,MUERTOS,41
JUNIO,2018,HERIDOS,468
JUNIO,2017,MUERTOS,59
JUNIO,2017,HERIDOS,404
JUNIO,2016,MUERTOS,52
JUNIO,2016,HERIDOS,475
JUNIO,2015,MUERTOS,65
JUNIO,2015,HERIDOS,334
JUNIO,2014,MUERTOS,49
JUNIO,2014,HERIDOS,401
JUNIO,2013,MUERTOS,121
JUNIO,2013,HERIDOS,499
JUNIO,2012,MUERTOS,57
JUNIO,2012,HERIDOS,373
JUNIO,2011,MUERTOS,71
JUNIO,2011,HERIDOS,379
JUNIO,2010,MUERTOS,47
JUNIO,2010,HERIDOS,362
JUNIO,2009,MUERTOS,81
JUNIO,2009,HERIDOS,306
JUNIO,2008,MUERTOS,46
JUNIO,2008,HERIDOS,395
JUNIO,2007,MUERTOS,87
JUNIO,2007,HERIDOS,417
JULIO,2022,MUERTOS,46
JULIO,2022,HERIDOS,616
JULIO,2021,MUERTOS,45
JULIO,2021,HERIDOS,628
JULIO,2020,MUERTOS,40
JULIO,2020,HERIDOS,263
JULIO,2019,MUERTOS,63
JULIO,2019,HERIDOS,614
JULIO,2018,MUERTOS,47
JULIO,2018,HERIDOS,555
JULIO,2017,MUERTOS,81
JULIO,2017,HERIDOS,616
JULIO,2016,MUERTOS,52
JULIO,2016,HERIDOS,622
JULIO,2015,MUERTOS,85
JULIO,2015,HERIDOS,510
JULIO,2014,MUERTOS,82
JULIO,2014,HERIDOS,46
JULIO,2013,MUERTOS,69
JULIO,2013,HERIDOS,449
JULIO,2012,MUERTOS,62
JULIO,2012,HERIDOS,323
JULIO,2011,MUERTOS,69
JULIO,2011,HERIDOS,493
JULIO,2010,MUERTOS,70
JULIO,2010,HERIDOS,405
JULIO,2009,MUERTOS,88
JULIO,2009,HERIDOS,421
JULIO,2007,MUERTOS,91
JULIO,2007,HERIDOS,445
AGOSTO,2022,MUERTOS,45
AGOSTO,2022,HERIDOS,529
AGOSTO,2021,MUERTOS,112
AGOSTO,2021,HERIDOS,774
AGOSTO,2020,MUERTOS,38
AGOSTO,2020,HERIDOS,267
AGOSTO,2019,MUERTOS,43
AGOSTO,2019,HERIDOS,644
AGOSTO,2018,MUERTOS,95
AGOSTO,2018,HERIDOS,816
AGOSTO,2017,MUERTOS,55
AGOSTO,2017,HERIDOS,485
AGOSTO,2016,MUERTOS,89
AGOSTO,2016,HERIDOS,467
AGOSTO,2015,MUERTOS,42
AGOSTO,2015,HERIDOS,477
AGOSTO,2014,MUERTOS,77
AGOSTO,2014,HERIDOS,447
AGOSTO,2013,MUERTOS,76
AGOSTO,2013,HERIDOS,590
AGOSTO,2012,MUERTOS,46
AGOSTO,2012,HERIDOS,404
AGOSTO,2011,MUERTOS,81
AGOSTO,2011,HERIDOS,676
AGOSTO,2010,MUERTOS,40
AGOSTO,2010,HERIDOS,385
AGOSTO,2009,MUERTOS,81
AGOSTO,2009,HERIDOS,523
AGOSTO,2007,MUERTOS,92
AGOSTO,2007,HERIDOS,325
SETIEMBRE,2022,MUERTOS,50
SETIEMBRE,2022,HERIDOS,316
SETIEMBRE,2021,MUERTOS,54
SETIEMBRE,2021,HERIDOS,615
SETIEMBRE,2020,MUERTOS,24
SETIEMBRE,2020,HERIDOS,316
SETIEMBRE,2019,MUERTOS,69
SETIEMBRE,2019,HERIDOS,662
SETIEMBRE,2018,MUERTOS,85
SETIEMBRE,2018,HERIDOS,551
SETIEMBRE,2017,MUERTOS,60
SETIEMBRE,2017,HERIDOS,419
SETIEMBRE,2016,MUERTOS,72
SETIEMBRE,2016,HERIDOS,524
SETIEMBRE,2015,MUERTOS,37
SETIEMBRE,2015,HERIDOS,282
SETIEMBRE,2014,MUERTOS,74
SETIEMBRE,2014,HERIDOS,409
SETIEMBRE,2013,MUERTOS,70
SETIEMBRE,2013,HERIDOS,501
SETIEMBRE,2012,MUERTOS,71
SETIEMBRE,2012,HERIDOS,330
SETIEMBRE,2011,MUERTOS,55
SETIEMBRE,2011,HERIDOS,376
SETIEMBRE,2010,MUERTOS,64
SETIEMBRE,2010,HERIDOS,383
SETIEMBRE,2009,MUERTOS,48
SETIEMBRE,2009,HERIDOS,363
SETIEMBRE,2007,MUERTOS,57
SETIEMBRE,2007,HERIDOS,479
OCTUBRE,2022,MUERTOS,45
OCTUBRE,2022,HERIDOS,463
OCTUBRE,2021,MUERTOS,77
OCTUBRE,2021,HERIDOS,830
OCTUBRE,2020,MUERTOS,48
OCTUBRE,2020,HERIDOS,438
OCTUBRE,2019,MUERTOS,65
OCTUBRE,2019,HERIDOS,638
OCTUBRE,2018,MUERTOS,75
OCTUBRE,2018,HERIDOS,568
OCTUBRE,2017,MUERTOS,66
OCTUBRE,2017,HERIDOS,468
OCTUBRE,2016,MUERTOS,54
OCTUBRE,2016,HERIDOS,542
OCTUBRE,2015,MUERTOS,65
OCTUBRE,2015,HERIDOS,450
OCTUBRE,2014,MUERTOS,80
OCTUBRE,2014,HERIDOS,438
OCTUBRE,2013,MUERTOS,106
OCTUBRE,2013,HERIDOS,522
OCTUBRE,2012,MUERTOS,81
OCTUBRE,2012,HERIDOS,364
OCTUBRE,2011,MUERTOS,68
OCTUBRE,2011,HERIDOS,404
