departamento,anio,tipo_siniestro,siniestros
APURIMAC,2008,ATROPELLO Y FUGA,13
APURIMAC,2008,CHOQUE,137
APURIMAC,2008,CHOQUE Y FUGA,13
APURIMAC,2008,VOLCADURA,24
APURIMAC,2008,CAIDA DE PASAJERO,6
APURIMAC,2008,INCENDIO,0
APURIMAC,2008,OTRO,3
APURIMAC,2009,ATROPELLO,59
APURIMAC,2009,ATROPELLO Y FUGA,4
APURIMAC,2009,CHOQUE,70
APURIMAC,2009,CHOQUE Y FUGA,8
APURIMAC,2009,VOLCADURA,25
APURIMAC,2009,CAIDA DE PASAJERO,8
APURIMAC,2009,INCENDIO,0
APURIMAC,2009,OTRO,9
APURIMAC,2010,ATROPELLO,31
APURIMAC,2010,ATROPELLO Y FUGA,1
APURIMAC,2010,CHOQUE,39
APURIMAC,2010,CHOQUE Y FUGA,4
APURIMAC,2010,VOLCADURA,35
APURIMAC,2010,CAIDA DE PASAJERO,3
APURIMAC,2010,INCENDIO,0
APURIMAC,2010,DESPISTE,0
APURIMAC,2010,OTRO,16
APURIMAC,2011,ATROPELLO,33
APURIMAC,2011,ATROPELLO Y FUGA,5
APURIMAC,2011,CHOQUE,73
APURIMAC,2011,CHOQUE Y FUGA,13
APURIMAC,2011,VOLCADURA,34
APURIMAC,2011,CAIDA DE PASAJERO,3
APURIMAC,2011,INCENDIO,0
APURIMAC,2011,DESPISTE,0
APURIMAC,2011,OTRO,24
APURIMAC,2012,ATROPELLO,136
APURIMAC,2012,ATROPELLO Y FUGA,40
APURIMAC,2012,CHOQUE,282
APURIMAC,2012,CHOQUE Y FUGA,87
APURIMAC,2012,VOLCADURA,43
APURIMAC,2012,CAIDA DE PASAJERO,9
APURIMAC,2012,INCENDIO,0
APURIMAC,2012,DESPISTE,0
APURIMAC,2012,OTRO,19
APURIMAC,2013,ATROPELLO,84
APURIMAC,2013,ATROPELLO Y FUGA,26
APURIMAC,2013,CHOQUE,213
APURIMAC,2013,CHOQUE Y FUGA,70
APURIMAC,2013,VOLCADURA,57
APURIMAC,2013,CAIDA DE PASAJERO,13
APURIMAC,2013,INCENDIO,9
APURIMAC,2013,DESPISTE,0
APURIMAC,2013,OTRO,53
APURIMAC,2014,ATROPELLO,127
APURIMAC,2014,ATROPELLO Y FUGA,11
APURIMAC,2014,CHOQUE,238
APURIMAC,2014,CHOQUE Y FUGA,53
APURIMAC,2014,VOLCADURA,42
APURIMAC,2014,CAIDA DE PASAJERO,15
APURIMAC,2014,INCENDIO,47
APURIMAC,2014,DESPISTE,21
APURIMAC,2014,OTRO,89
APURIMAC,2015,ATROPELLO,123
APURIMAC,2015,ATROPELLO Y FUGA,14
APURIMAC,2015,CHOQUE,218
APURIMAC,2015,CHOQUE Y FUGA,25
APURIMAC,2015,VOLCADURA,28
APURIMAC,2015,CAIDA DE PASAJERO,5
APURIMAC,2015,INCENDIO,0
APURIMAC,2015,DESPISTE,41
APURIMAC,2015,DESPISTE Y VOLCADURA,18
APURIMAC,2015,COLISION,4
APURIMAC,2015,CHOQUE Y ATROPELLO,8
APURIMAC,2015,OTRO,47
APURIMAC,2016,ATROPELLO,78
APURIMAC,2016,ATROPELLO Y FUGA,3
APURIMAC,2016,CHOQUE,168
APURIMAC,2016,CHOQUE Y FUGA,7
APURIMAC,2016,VOLCADURA,17
APURIMAC,2016,CAIDA DE PASAJERO,5
APURIMAC,2016,INCENDIO,1
APURIMAC,2016,DESPISTE,35
APURIMAC,2016,CHOQUE Y ATROPELLO,10
APURIMAC,2016,DESPISTE Y VOLCADURA,27
APURIMAC,2016,COLISION,2
APURIMAC,2016,OTRO,10
APURIMAC,2017,ATROPELLO,96
APURIMAC,2017,ATROPELLO Y FUGA,5
APURIMAC,2017,CHOQUE,212
APURIMAC,2017,CHOQUE Y FUGA,14
APURIMAC,2017,VOLCADURA,10
APURIMAC,2017,CAIDA DE PASAJERO,12
APURIMAC,2017,INCENDIO,0
APURIMAC,2017,DESPISTE,57
APURIMAC,2017,CHOQUE Y ATROPELLO,15
APURIMAC,2017,DESPISTE Y VOLCADURA,36
APURIMAC,2017,COLISIÓN,1
APURIMAC,2017,OTRO,15
APURIMAC,2018,ATROPELLO,172
APURIMAC,2018,ATROPELLO Y FUGA,8
APURIMAC,2018,CHOQUE,348
APURIMAC,2018,CHOQUE Y FUGA,25
APURIMAC,2018,VOLCADURA,26
APURIMAC,2018,CAIDA DE PASAJERO,19
APURIMAC,2018,INCENDIO,1
APURIMAC,2018,DESPISTE,130
APURIMAC,2018,CHOQUE Y ATROPELLO,8
APURIMAC,2018,DESPISTE Y VOLCADURA,58
APURIMAC,2018,COLISIÓN Y FUGA,3
APURIMAC,2018,COLISIÓN,2
APURIMAC,2018,OTRO,18
APURIMAC,2019,ATROPELLO,167
APURIMAC,2019,ATROPELLO Y FUGA,21
APURIMAC,2019,CHOQUE,292
APURIMAC,2019,CHOQUE Y FUGA,25
APURIMAC,2019,VOLCADURA,35
APURIMAC,2019,CAIDA DE PASAJERO,12
APURIMAC,2019,INCENDIO,0
APURIMAC,2019,DESPISTE,164
APURIMAC,2019,CHOQUE Y ATROPELLO,6
APURIMAC,2019,DESPISTE Y VOLCADURA,61
APURIMAC,2019,COLISIÓN Y FUGA,1
APURIMAC,2019,COLISIÓN,8
APURIMAC,2019,OTRO,16
APURIMAC,2020,ATROPELLO,89
APURIMAC,2020,ATROPELLO Y FUGA,13
APURIMAC,2020,CHOQUE,255
APURIMAC,2020,CHOQUE Y FUGA,16
APURIMAC,2020,VOLCADURA,44
APURIMAC,2020,CAIDA DE PASAJERO,6
APURIMAC,2020,INCENDIO,3
APURIMAC,2020,DESPISTE,132
